battery_id,cycle,soh,capacity,v_mean,v_std,v_min,v_max,v_drop,i_mean,i_std,i_skew,i_kurt,temp_mean,temp_max,duration
B0005,1,0.9282437104090788,1.8564874208181577,3.5298286688693397,0.2365582361664672,2.612467347907089,4.191491807505295,1.5790244595982057,-1.8187019641679727,0.5950584036965106,2.734051143682144,5.475108475688305,32.572328114029,38.98218133148803,3690.234
B0005,2,0.9231636248599635,1.846327249719927,3.5373201277859714,0.2353661208702504,2.587208728940726,4.189773213846608,1.6025644849058818,-1.8175598506612867,0.5967037718608691,2.7245215286961075,5.423096368833329,32.72523522519307,39.033397966787035,3672.344
B0005,3,0.9176745971117038,1.8353491942234077,3.5437367282719,0.22811108752216303,2.6519168938437794,4.188186735991303,1.536269842147524,-1.8164865418840956,0.598033410427442,2.7149496393438644,5.371035876320883,32.64286193755933,38.81879668981741,3651.641
B0005,4,0.9176312637910564,1.8352625275821128,3.5436661072601456,0.2333465027689954,2.592947964776547,4.188461118855572,1.5955131540790246,-1.8255891938692528,0.5849720920767387,2.8071131251702597,5.879963334938754,32.51487646204882,38.7623045063458,3631.563
B0005,5,0.917322754106021,1.834645508212042,3.5423432526672167,0.2373009622577082,2.547419651124539,4.188298524761055,1.6408788736365159,-1.8261139590277586,0.5849781734923365,2.807115806672295,5.879991351743723,32.38234901543077,38.66539257343368,3629.172
B0005,6,0.9178308300337747,1.8356616600675495,3.5413347346347575,0.23993226167114742,2.5209480504077413,4.188815807948604,1.6678677575408627,-1.8168108743168803,0.5982374845560282,2.714959484272823,5.371073737001334,32.43418218230641,38.75169504640032,3652.281
B0005,7,0.9175730714613302,1.8351461429226603,3.5410250495075215,0.24313957024653737,2.487927319492314,4.18839163793879,1.700464318446476,-1.816791144707133,0.598027293280686,2.7149571764000573,5.3710593356563106,32.480416444757985,38.8207012322275,3650.828
B0005,8,0.9128783952832767,1.8257567905665535,3.554133296801584,0.22790991675130146,2.6652049047458775,4.188927891511958,1.5237229867660806,-1.8443412120754061,0.5588480400785012,3.0047856635561785,7.028839922204265,32.41046186109587,38.51713023385634,3572.453
B0005,9,0.9123869264945667,1.8247738529891333,3.5529355991467955,0.23306799549076238,2.6038584726333673,4.189029250882121,1.5851707782487536,-1.853972745505648,0.5439173113548029,3.122835760052888,7.752253502780496,32.3461408313,38.526267904657,3550.594
B0005,10,0.912306634248468,1.824613268496936,3.5512057319376997,0.23735414167102423,2.552853984885676,4.189223427076418,1.636369442190742,-1.8535899338510957,0.5437675433297862,3.1228513212198843,7.752313248531509,32.27679750791685,38.52698128472781,3551.25
B0005,11,0.9123097763432252,1.8246195526864504,3.549292319740949,0.24374302251465718,2.4724483018527317,4.188916055911241,1.7164677540585092,-1.863380178294828,0.5281400480827111,3.252657686755484,8.57989275835113,32.15709350345252,38.54143406601644,3530.25
